Month,Production/kg,Rainfall in mm,Rainy days nos,Sunshine hours,Fertilizer,District
6/1/2019,3301570.0,172.7,13,153.5,1636.6733018867924,1
7/1/2019,3085636.0,146.7,8,202.1,1636.6733018867924,1
9/1/2019,2825519.0,557.1,23,175.52823232323234,1636.6733018867924,1
10/1/2019,2612754.0,371.0,17,175.52823232323234,1636.6733018867924,1
11/1/2019,2425851.0,222.1,11,175.52823232323234,1636.6733018867924,1
12/1/2019,2881389.0,84.9,7,175.52823232323234,1636.6733018867924,1
4/1/2020,2435760.0,110.6,8,218.0,977.65,1
6/1/2020,2767460.0,92.6,10,205.0,3606.54,1
7/1/2020,2968377.0,103.6,13,145.8,3216.85,1
8/1/2020,2730699.0,74.0,7,209.4,1242.71,1
10/1/2020,3066900.0,81.9,9,175.52823232323234,2126.0,1
12/1/2020,3370656.0,58.0,5,175.52823232323234,3306.02,1
1/1/2021,2943697.0,105.6,12,160.0,3028.6,1
2/1/2021,2667124.0,15.4,4,207.0,2853.87,1
3/1/2021,3301627.0,50.7,6,221.0,1523.25,1
5/1/2021,3288290.0,284.1,14,190.0,325.41,1
7/1/2021,2929304.0,233.7,13,194.0,3137.27,1
8/1/2021,2875345.0,80.2,13,175.52823232323234,880.98,1
9/1/2021,2828901.0,236.8,14,175.52823232323234,378.31,1
10/1/2021,2921157.0,225.4,14,175.52823232323234,121.83,1
11/1/2021,2534384.0,316.2,18,175.52823232323234,781.1,1
12/1/2021,2312735.0,161.1,11,175.52823232323234,1532.13,1
2/1/2022,2312991.0,58.1,3,190.0,568.75,1
3/1/2022,2649128.0,108.9,9,210.0,789.49,1
4/1/2022,2477439.0,156.2,9,198.0,471.86,1
5/1/2022,2705619.0,289.4,21,167.0,542.05,1
6/1/2022,2484138.0,132.3,13,208.0,914.83,1
7/1/2022,2310660.0,176.2,9,175.52823232323234,813.1,1
8/1/2022,2510014.0,69.5,9,175.52823232323234,1093.77,1
9/1/2022,2466098.0,63.7,8,175.52823232323234,1090.73,1
10/1/2022,2350505.0,0.0,0,175.52823232323234,1245.68,1
11/1/2022,2609445.0,224.1,14,175.52823232323234,980.23,1
12/1/2022,2488589.0,215.7,19,175.52823232323234,1176.42,1
1/1/2016,6114284.0,139.7,7,188.8,392.9,2
2/1/2016,5452146.0,88.9,10,194.9,417.46,2
4/1/2016,6383458.0,396.5,24,216.5,425.3,2
6/1/2016,6156702.0,220.4,22,166.2,1216.46,2
7/1/2016,5151927.0,193.4,19,192.1,1636.6733018867924,2
8/1/2016,5895116.0,131.9,21,208.9,1636.6733018867924,2
9/1/2016,4301391.0,101.7,13,194.2,1636.6733018867924,2
10/1/2016,4649146.0,156.2,17,205.7,1636.6733018867924,2
12/1/2016,5736142.0,163.9,8,199.8,1636.6733018867924,2
1/1/2017,4964228.0,38.7,9,194.3,1502.29,2
2/1/2017,4006759.0,33.1,7,192.5,1641.4,2
3/1/2017,6241046.0,263.7,19,201.0,2097.84,2
4/1/2017,7037164.0,200.9,15,175.9,625.29,2
7/1/2017,6181624.0,183.7,20,190.9,2088.66,2
12/1/2017,5468586.0,243.1,15,175.52823232323234,1636.6733018867924,2
1/1/2018,5974491.0,14.0,5,182.6,1527.68,2
2/1/2018,4641247.0,91.6,12,166.0,2483.47,2
3/1/2018,6531285.0,185.1,14,156.5,2511.02,2
8/1/2018,4995736.0,185.4,15,175.52823232323234,2571.37,2
9/1/2018,4522749.0,284.7,15,175.52823232323234,1338.46,2
11/1/2018,5863324.0,394.4,19,175.52823232323234,3348.58,2
12/1/2018,5956930.0,169.3,9,175.52823232323234,3337.07,2
1/1/2019,5083644.0,37.5,7,211.0,1847.34,2
2/1/2019,4970241.0,306.0,11,194.2,3038.58,2
4/1/2019,5706496.0,225.1,17,173.6,1636.6733018867924,2
5/1/2019,7235867.0,99.3,15,213.7,1636.6733018867924,2
7/1/2019,5984324.0,224.0,13,190.9,1636.6733018867924,2
10/1/2019,5012911.0,598.6,29,175.52823232323234,1636.6733018867924,2
11/1/2019,4484149.0,348.9,23,175.52823232323234,1636.6733018867924,2
12/1/2019,5138442.0,200.4,18,175.52823232323234,1636.6733018867924,2
4/1/2020,5082304.0,191.6,20,189.8,1465.16,2
8/1/2020,5614238.0,192.9,13,198.4,1778.15,2
10/1/2020,5832263.0,207.4,17,215.4,3652.77,2
2/1/2021,5223015.0,72.0,9,200.0,3076.91,2
3/1/2021,6512366.0,308.8,19,158.0,2506.22,2
4/1/2021,6552158.0,212.6,17,216.0,3552.26,2
6/1/2021,5831437.0,548.5,22,182.0,3220.43,2
10/1/2021,5334869.0,508.0,27,175.52823232323234,138.9,2
11/1/2021,4406089.0,487.4,26,175.52823232323234,578.11,2
12/1/2021,4328616.0,193.7,16,175.52823232323234,1568.53,2
2/1/2022,4101006.0,150.9,9,186.0,619.71,2
3/1/2022,4917120.0,299.5,14,193.0,639.95,2
4/1/2022,4864581.0,432.0,25,182.0,404.82,2
6/1/2022,4523300.0,232.5,24,151.0,524.06,2
8/1/2022,4149531.0,529.8,21,168.0,1146.11,2
9/1/2022,4516375.0,212.1,15,175.52823232323234,1368.21,2
10/1/2022,4189250.0,685.5,25,175.52823232323234,1209.92,2
11/1/2022,4275937.0,342.0,16,175.52823232323234,1564.27,2
12/1/2022,4028472.0,234.9,14,175.52823232323234,1334.43,2
1/1/2016,5687313.0,34.8,9,153.8,181.55,3
2/1/2016,5100250.0,67.9,8,166.4,128.78,3
3/1/2016,4507538.0,67.8,5,202.0,419.13,3
4/1/2016,6217476.0,56.3,8,179.1,937.48,3
7/1/2016,4400596.0,117.5,18,165.5,1636.6733018867924,3
8/1/2016,3787460.0,55.2,15,167.3,1636.6733018867924,3
9/1/2016,3340231.0,35.2,10,165.0,1636.6733018867924,3
10/1/2016,3509955.0,69.7,12,152.5,1636.6733018867924,3
1/1/2017,4227333.0,143.6,12,175.52823232323234,810.91,3
2/1/2017,3548967.0,81.9,7,168.0,709.08,3
3/1/2017,5199134.0,204.3,15,189.5,1293.83,3
4/1/2017,7857329.0,71.5,5,175.52823232323234,18.38,3
5/1/2017,6776104.0,167.7,17,175.52823232323234,1946.4,3
6/1/2017,4308244.0,56.4,17,175.52823232323234,1360.03,3
7/1/2017,4453088.0,39.2,14,175.52823232323234,114.93,3
8/1/2017,3863935.0,127.8,21,175.52823232323234,277.44,3
9/1/2017,4217344.0,161.8,17,175.52823232323234,248.35,3
10/1/2017,4539339.0,207.5,25,175.52823232323234,9.85,3
11/1/2017,4864295.0,289.6,19,175.52823232323234,14.55,3
12/1/2017,4662820.0,156.3,13,175.52823232323234,1636.6733018867924,3
1/1/2018,5084999.0,95.4,5,193.4,961.59,3
2/1/2018,4798343.0,57.2,9,163.3,3261.98,3
3/1/2018,5656212.0,79.1,10,160.9,1850.05,3
4/1/2018,6622248.0,216.1,16,168.9,1801.56,3
5/1/2018,6818319.0,363.1,22,175.52823232323234,1648.2,3
6/1/2018,3979348.0,125.5,25,175.52823232323234,1859.47,3
7/1/2018,3129887.0,171.5,18,175.52823232323234,1090.03,3
8/1/2018,3272673.0,264.9,17,175.52823232323234,429.0,3
9/1/2018,3874309.0,157.3,18,175.52823232323234,449.1,3
10/1/2018,7097073.0,402.7,23,175.52823232323234,324.0,3
11/1/2018,4340782.0,179.2,16,175.52823232323234,1636.6733018867924,3
12/1/2018,5192937.0,61.1,13,175.52823232323234,1636.6733018867924,3
1/1/2019,4755524.0,55.0,3,171.7,606.74,3
3/1/2019,5104211.0,9.4,2,204.2,1059.15,3
4/1/2019,4452704.0,112.9,14,164.2,1636.6733018867924,3
7/1/2019,5264959.0,224.9,10,170.4,1636.6733018867924,3
8/1/2019,4658656.0,188.2,21,175.52823232323234,1636.6733018867924,3
9/1/2019,3629843.0,225.2,23,175.52823232323234,1636.6733018867924,3
10/1/2019,3222596.0,348.2,27,175.52823232323234,1636.6733018867924,3
11/1/2019,6017528.0,343.8,22,175.52823232323234,1636.6733018867924,3
12/1/2019,4290101.0,241.8,13,175.52823232323234,1636.6733018867924,3
2/1/2020,4056122.0,39.6,7,158.4,1122.15,3
3/1/2020,2697606.0,13.3,2,146.8,572.37,3
5/1/2020,6497927.0,287.8,20,143.3,2078.59,3
6/1/2020,6596583.0,103.5,14,143.2,2222.37,3
7/1/2020,5486863.0,93.4,21,175.52823232323234,2429.13,3
8/1/2020,3535216.0,308.7,19,175.52823232323234,1494.32,3
10/1/2020,4111738.0,107.5,12,175.52823232323234,2117.29,3
11/1/2020,5567637.0,110.6,22,175.52823232323234,3345.54,3
12/1/2020,6235840.0,203.2,19,175.52823232323234,2641.12,3
3/1/2021,6026002.0,108.7,12,158.0,3158.53,3
4/1/2021,6557577.0,107.2,11,175.52823232323234,2334.91,3
5/1/2021,7082664.0,273.2,21,175.52823232323234,498.75,3
6/1/2021,5281025.0,111.3,14,175.52823232323234,704.57,3
7/1/2021,5357101.0,199.6,19,175.52823232323234,2178.11,3
8/1/2021,4485119.0,119.2,18,175.52823232323234,1415.48,3
9/1/2021,3635638.0,158.5,20,175.52823232323234,784.58,3
10/1/2021,4467225.0,387.5,26,175.52823232323234,181.25,3
11/1/2021,3460176.0,241.4,25,175.52823232323234,2176.8,3
12/1/2021,4280219.0,78.6,12,175.52823232323234,1358.83,3
1/1/2022,5579257.0,36.8,10,190.0,309.06,3
2/1/2022,4058496.0,35.9,8,175.52823232323234,507.52,3
3/1/2022,4434645.0,47.3,9,175.52823232323234,987.67,3
4/1/2022,5033238.0,242.7,20,175.52823232323234,136.1,3
5/1/2022,6208161.0,243.2,21,175.52823232323234,790.8,3
6/1/2022,3373362.0,47.3,11,175.52823232323234,390.99,3
7/1/2022,3454712.0,193.8,26,175.52823232323234,512.13,3
8/1/2022,2732378.0,293.4,17,175.52823232323234,1353.24,3
9/1/2022,4071957.0,71.0,13,175.52823232323234,416.26,3
10/1/2022,3501367.0,385.3,26,175.52823232323234,954.28,3
11/1/2022,3896296.0,89.6,14,175.52823232323234,636.33,3
12/1/2022,4144545.0,141.4,17,175.52823232323234,1100.23,3
1/1/2016,3684849.0,40.7,7,175.52823232323234,215.2,4
2/1/2016,3228301.0,250.1,10,175.52823232323234,191.45,4
3/1/2016,3194042.0,39.4,5,175.52823232323234,564.15,4
4/1/2016,3370155.0,76.0,10,175.52823232323234,280.5,4
5/1/2016,3916009.0,440.8,24,175.52823232323234,715.79,4
6/1/2016,3741676.0,119.1,19,175.52823232323234,516.53,4
7/1/2016,3126334.0,128.2,16,175.52823232323234,1636.6733018867924,4
8/1/2016,3792743.0,76.8,18,175.52823232323234,1636.6733018867924,4
9/1/2016,3350836.0,43.9,8,175.52823232323234,1636.6733018867924,4
10/1/2016,3158507.0,370.5,20,175.52823232323234,1636.6733018867924,4
11/1/2016,4308098.0,332.5,19,175.52823232323234,1636.6733018867924,4
12/1/2016,3927730.0,63.4,12,175.52823232323234,1636.6733018867924,4
1/1/2017,3234602.0,225.1,8,210.5,1300.25,4
2/1/2017,2817765.0,37.2,5,198.5,1647.17,4
3/1/2017,3491947.0,82.0,10,219.2,1895.16,4
4/1/2017,4295031.0,178.5,10,216.2,845.49,4
5/1/2017,3788612.0,350.5,20,155.8,3408.45,4
6/1/2017,4103735.0,94.3,20,194.2,2751.19,4
7/1/2017,3931296.0,137.3,17,210.8,2257.67,4
8/1/2017,4110244.0,179.0,22,164.0,2715.11,4
9/1/2017,4175466.0,239.0,19,175.52823232323234,2681.2,4
10/1/2017,4056668.0,285.7,21,187.7,1835.43,4
12/1/2017,3842724.0,75.0,13,194.0,1573.18,4
1/1/2018,3448266.0,11.0,5,216.2,1486.27,4
2/1/2018,2928389.0,129.0,7,202.63,2124.58,4
3/1/2018,4192957.0,120.1,15,192.4,2008.46,4
4/1/2018,3501966.0,169.7,15,179.4,1810.96,4
6/1/2018,3671080.0,136.5,25,204.6,2860.76,4
7/1/2018,3694524.0,132.2,15,182.6,2337.69,4
8/1/2018,3558527.0,105.5,13,175.52823232323234,2602.16,4
9/1/2018,2457600.0,230.1,13,175.52823232323234,704.89,4
10/1/2018,3756270.0,424.9,17,175.52823232323234,3175.03,4
11/1/2018,3499020.0,243.0,15,175.52823232323234,2797.27,4
12/1/2018,3917357.0,52.3,5,175.52823232323234,3885.45,4
1/1/2019,3330669.5,27.7,5,188.5,2029.13,4
2/1/2019,3167958.0,120.7,9,202.2,1943.75,4
4/1/2019,2865673.0,88.4,15,181.2,1636.6733018867924,4
5/1/2019,4735184.0,269.8,20,198.8,1636.6733018867924,4
6/1/2019,3853814.0,177.4,18,148.4,1636.6733018867924,4
7/1/2019,3829896.5,124.5,13,199.0,1636.6733018867924,4
10/1/2019,3380915.0,604.3,22,175.52823232323234,1636.6733018867924,4
11/1/2019,3232376.5,309.4,19,175.52823232323234,1636.6733018867924,4
12/1/2019,3368011.0,135.3,15,175.52823232323234,1636.6733018867924,4
4/1/2020,3068210.0,182.5,18,205.1,1252.83,4
8/1/2020,3272449.0,164.9,14,202.3,1371.55,4
10/1/2020,3595093.0,160.2,14,209.8,3224.92,4
2/1/2021,3227056.0,15.4,5,207.0,3243.77,4
3/1/2021,3931974.0,122.4,17,192.0,2394.56,4
4/1/2021,4076476.0,407.5,16,175.52823232323234,2787.47,4
5/1/2021,3899088.0,294.8,23,175.52823232323234,449.0,4
6/1/2021,3620250.0,215.4,20,177.0,2783.12,4
8/1/2021,3371614.0,140.0,15,175.52823232323234,777.58,4
9/1/2021,3496618.0,140.8,22,175.52823232323234,1123.85,4
10/1/2021,3462349.0,216.2,23,175.52823232323234,49.92,4
11/1/2021,2985017.0,473.7,24,175.52823232323234,920.11,4
12/1/2021,2946591.0,210.6,14,175.52823232323234,2404.96,4
2/1/2022,2266079.0,118.1,6,178.0,589.9,4
3/1/2022,3210091.0,144.2,10,216.0,817.87,4
4/1/2022,2949080.0,257.0,17,186.0,411.39,4
7/1/2022,3074988.0,61.5,14,175.52823232323234,1200.59,4
8/1/2022,3003573.0,184.4,14,175.52823232323234,1463.9,4
9/1/2022,2957228.0,74.6,15,175.52823232323234,1325.81,4
10/1/2022,2737942.0,749.9,25,175.52823232323234,1581.84,4
11/1/2022,3213092.0,162.3,14,175.52823232323234,1557.84,4
12/1/2022,2986014.0,190.4,13,175.52823232323234,2200.69,4
